wesnoth-anl-ko.po	unit	plain=4, other=7, formal=3
wesnoth-did-ko.po	Darken Volk	plain=12, formal=10, other=6, archaic=2
wesnoth-did-ko.po	Mal Keshar	other=35, plain=15, archaic=8, imperative=1
wesnoth-did-ko.po	Malin Keshar	plain=36, other=48, formal=30, archaic=5, imperative=1
wesnoth-did-ko.po	narrator	plain=10, other=9, formal=13
wesnoth-did-ko.po	second_unit	formal=2, plain=1
wesnoth-did-ko.po	unit	other=13, imperative=1, formal=2, archaic=1, plain=3
wesnoth-dm-ko.po	Chantal	other=10, formal=2, plain=1
wesnoth-dm-ko.po	Delfador	other=28, plain=21, formal=4, archaic=9, imperative=2
wesnoth-dm-ko.po	Garrath	other=5, formal=1, plain=3
wesnoth-dm-ko.po	Marshal	other=2, imperative=1, plain=1
wesnoth-dm-ko.po	Ulrek	other=3, archaic=1, imperative=1
wesnoth-dm-ko.po	narrator	other=4, plain=1, formal=1
wesnoth-dm-ko.po	unit	other=12, plain=4, archaic=4
wesnoth-dw-ko.po	Caladon	other=2, archaic=1, plain=2
wesnoth-dw-ko.po	Cylanna	plain=6, other=13, formal=2
wesnoth-dw-ko.po	Growloff	archaic=1, plain=1, other=2
wesnoth-dw-ko.po	Gwabbo	other=3, plain=2, imperative=1
wesnoth-dw-ko.po	Kai Krellis	archaic=10, other=34, plain=23, imperative=3, formal=3
wesnoth-dw-ko.po	Tyegea	other=3, plain=2, imperative=1
wesnoth-dw-ko.po	narrator	plain=8, formal=2
wesnoth-ei-ko.po	$found_unit.id	plain=5, other=10, archaic=1
wesnoth-ei-ko.po	Addogin	plain=6, archaic=1, other=6
wesnoth-ei-ko.po	Chief Dra-Nak	other=11, plain=4, archaic=2
wesnoth-ei-ko.po	Dacyn	plain=25, archaic=7, other=16, formal=2
wesnoth-ei-ko.po	Gaennell	formal=1, other=4, imperative=1, archaic=1
wesnoth-ei-ko.po	Gweddry	plain=16, other=28, formal=9, archaic=5, imperative=1
wesnoth-ei-ko.po	Hahid al-Ali	archaic=4, plain=4, other=7
wesnoth-ei-ko.po	Halrad	archaic=1, formal=1, plain=1
wesnoth-ei-ko.po	Halric	plain=2, formal=1
wesnoth-ei-ko.po	Halrod	archaic=1, plain=1
wesnoth-ei-ko.po	Konrad	other=3, plain=4, formal=2
wesnoth-ei-ko.po	Mal-Mana	plain=1, imperative=1, other=1
